query,scaling,M-KGC(O),M-KGC(R),SA,maplib
Q1,5,6.65,30.65,7.95,3.06
Q1,10,21.1,,15.81,6.75
Q1,50,,,,34.29
Q1,100,,,,71.63
Q2,5,2.87,1.63,0.58,1.59
Q2,10,10.64,,0.95,3.52
Q2,50,,,,17.96
Q2,100,,,,36.78
Q3,5,0.18,1.78,0.19,2.49
Q3,10,0.57,,0.27,5.53
Q3,50,,,,28.11
Q3,100,,,,57.57
Q4,5,0.02,1.45,0.03,0.62
Q4,10,0.05,,0.03,1.26
Q4,50,,,,5.77
Q4,100,,,,11.76
Q5,5,0.01,0.08,0.02,0.08
Q5,10,0.02,,0.03,0.15
Q5,50,,,,0.67
Q5,100,,,,1.31
Q6,5,0.0,0.01,0.01,0.07
Q6,10,0.01,,0.01,0.13
Q6,50,,,,0.61
Q6,100,,,,1.14
Q7,5,0.74,,0.05,
Q7,10,5.12,,0.05,
Q8,5,3.66,,7.26,25.14
Q8,10,10.95,,15.01,
Q9,5,28.72,132.09,35.73,9.05
Q9,10,102.59,,,19.87
Q10,5,,,0.25,
Q10,10,,,0.31,
Q11,5,0.35,0.14,0.17,2.23
Q11,10,1.12,,0.23,4.62
Q11,50,,,,22.84
Q11,100,,,,47.85
Q12,5,0.41,,0.15,11.26
Q12,10,1.56,,0.17,
Q13,5,131.35,0.59,0.17,98.89
Q13,10,,,0.22,
Q14,5,0.9,,1.44,0.58
Q14,10,2.92,,2.72,1.19
Q14,50,,,,5.94
Q14,100,,,,11.77
Q15,5,1.73,3.52,0.6,
Q15,10,3.78,,1.25,
Q16,5,0.88,38.16,1.24,0.18
Q16,10,2.04,,0.26,0.34
Q16,50,,,,1.3
Q16,100,,,,2.44
Q17,5,0.29,,0.19,8.38
Q17,10,0.97,,0.25,34.88
Q18,5,0.02,0.06,0.04,0.08
Q18,10,0.06,,0.06,0.15
Q18,50,,,,0.69
Q18,100,,,,1.37
