iteration,query,time,n,error
4,q1.rq,71.09,5854000,False
0,q1.rq,78.77,5854000,False
5,q1.rq,70.66,5854000,False
9,q1.rq,71.1,5854000,False
3,q1.rq,69.7,5854000,False
2,q1.rq,69.88,5854000,False
8,q1.rq,71.17,5854000,False
6,q1.rq,71.19,5854000,False
1,q1.rq,71.63,5854000,False
7,q1.rq,71.07,5854000,False
5,q11.rq,47.72,260,False
3,q11.rq,47.9,260,False
6,q11.rq,48.57,260,False
2,q11.rq,46.82,260,False
7,q11.rq,48.26,260,False
0,q11.rq,48.37,260,False
4,q11.rq,47.61,260,False
1,q11.rq,46.97,260,False
8,q11.rq,47.88,260,False
9,q11.rq,48.37,260,False
1,q14.rq,11.65,223400,False
3,q14.rq,11.89,223400,False
6,q14.rq,11.92,223400,False
8,q14.rq,11.92,223400,False
2,q14.rq,11.67,223400,False
5,q14.rq,11.78,223400,False
0,q14.rq,11.49,223400,False
9,q14.rq,11.89,223400,False
4,q14.rq,11.73,223400,False
7,q14.rq,11.74,223400,False
6,q16.rq,2.41,1560,False
7,q16.rq,2.43,1560,False
8,q16.rq,2.49,1560,False
5,q16.rq,2.44,1560,False
3,q16.rq,2.57,1560,False
4,q16.rq,2.46,1560,False
9,q16.rq,2.46,1560,False
1,q16.rq,2.4,1560,False
2,q16.rq,2.4,1560,False
0,q16.rq,2.37,1560,False
6,q18.rq,1.33,13000,False
3,q18.rq,1.34,13000,False
9,q18.rq,1.33,13000,False
0,q18.rq,1.31,13000,False
4,q18.rq,1.34,13000,False
8,q18.rq,1.33,13000,False
1,q18.rq,1.72,13000,False
7,q18.rq,1.33,13000,False
5,q18.rq,1.33,13000,False
2,q18.rq,1.33,13000,False
6,q2.rq,36.47,125565,False
2,q2.rq,35.94,125565,False
7,q2.rq,36.44,125565,False
3,q2.rq,35.48,125565,False
5,q2.rq,36.26,125565,False
8,q2.rq,35.98,125565,False
9,q2.rq,36.41,125565,False
4,q2.rq,36.63,125565,False
0,q2.rq,42.45,125565,False
1,q2.rq,35.71,125565,False
7,q3.rq,59.94,42067,False
6,q3.rq,59.82,42067,False
8,q3.rq,56.14,42067,False
1,q3.rq,58.81,42067,False
0,q3.rq,54.49,42067,False
9,q3.rq,56.54,42067,False
3,q3.rq,59.23,42067,False
2,q3.rq,56.66,42067,False
4,q3.rq,59.04,42067,False
5,q3.rq,55.02,42067,False
2,q4.rq,11.48,1300,False
0,q4.rq,11.98,1300,False
3,q4.rq,12.12,1300,False
1,q4.rq,11.74,1300,False
7,q4.rq,11.58,1300,False
5,q4.rq,12.12,1300,False
8,q4.rq,11.48,1300,False
4,q4.rq,11.41,1300,False
9,q4.rq,12.18,1300,False
6,q4.rq,11.5,1300,False
8,q5.rq,1.25,3500,False
4,q5.rq,1.9,3500,False
1,q5.rq,1.22,3500,False
9,q5.rq,1.25,3500,False
7,q5.rq,1.25,3500,False
3,q5.rq,1.26,3500,False
5,q5.rq,1.26,3500,False
6,q5.rq,1.24,3500,False
0,q5.rq,1.21,3500,False
2,q5.rq,1.25,3500,False
3,q6.rq,1.15,1,False
9,q6.rq,1.14,1,False
0,q6.rq,1.13,1,False
4,q6.rq,1.13,1,False
2,q6.rq,1.15,1,False
7,q6.rq,1.16,1,False
5,q6.rq,1.15,1,False
1,q6.rq,1.12,1,False
8,q6.rq,1.16,1,False
6,q6.rq,1.13,1,False
